# time_sec, throughput_Mbps
1,0
1.1,4.41664
1.2,19.5834
1.3,14.2029
1.4,23.1325
1.5,21.097
1.6,21.5686
1.7,21.8688
1.8,21.8688
1.9,21.6544
2,21.783
2.1,21.9546
2.2,21.6544
2.3,22.0403
2.4,21.6973
2.5,21.9974
2.6,21.6973
2.7,22.0403
2.8,21.6544
2.9,21.9546
3,21.783
3.1,21.8259
3.2,21.8688
3.3,21.783
3.4,21.9117
3.5,21.6973
3.6,17.9491
3.7,21.6973
3.8,21.6544
3.9,21.6973
4,21.6973
4.1,21.6544
4.2,21.6973
4.3,21.6973
4.4,21.7402
4.5,21.8688
4.6,21.783
4.7,21.6544
4.8,21.6973
4.9,21.6973
5,21.9974
5.1,21.6973
5.2,21.6973
5.3,21.7402
5.4,21.9546
5.5,21.6973
5.6,21.6544
5.7,22.0403
5.8,21.6973
5.9,21.7402
6,21.9546
6.1,21.6973
6.2,21.9974
6.3,21.6973
6.4,22.0403
6.5,21.6544
6.6,21.9546
6.7,21.783
6.8,21.8259
6.9,21.8688
7,21.783
7.1,21.9117
7.2,21.6973
7.3,22.0403
7.4,21.6544
7.5,22.0403
7.6,21.6973
7.7,21.9974
7.8,21.6973
7.9,21.9974
8,21.6973
8.1,21.9546
8.2,21.7402
8.3,21.8688
8.4,21.8688
8.5,20.7968
8.6,18.9331
8.7,21.6544
8.8,21.6973
8.9,21.6973
9,21.6544
9.1,21.6973
9.2,22.0403
9.3,21.6544
9.4,21.6973
9.5,21.6973
9.6,21.9974
9.7,21.6973
9.8,21.9974
9.9,21.6973
10,21.6973
10.1,21.9974
10.2,21.6973
10.3,22.0403
10.4,21.6544
10.5,22.0403
10.6,21.6973
10.7,21.9974
10.8,21.6973
10.9,22.0403
11,21.6544
11.1,22.0403
11.2,21.6973
11.3,21.9117
11.4,21.783
11.5,21.6973
11.6,21.9974
11.7,21.6973
11.8,22.0403
11.9,21.6544
12,22.0403
12.1,21.6973
12.2,21.9974
12.3,21.6973
12.4,22.0403
12.5,21.6544
12.6,18.0234
12.7,21.6973
12.8,21.6973
12.9,21.6544
13,21.6973
13.1,21.6973
13.2,21.6544
13.3,21.6973
13.4,21.6973
13.5,21.6544
13.6,21.6973
13.7,21.6973
13.8,21.9974
13.9,21.6973
14,21.6973
14.1,21.6544
14.2,21.6973
14.3,22.0403
14.4,21.6544
14.5,21.6973
14.6,22.0403
14.7,21.6544
14.8,21.6973
14.9,22.0403
15,21.6544
15.1,21.6973
15.2,22.0403
15.3,21.6544
15.4,22.0403
15.5,21.6973
15.6,21.9974
15.7,21.6973
15.8,21.783
15.9,21.9117
16,21.6973
16.1,22.0403
16.2,21.6544
16.3,22.0403
16.4,21.6973
16.5,21.9974
16.6,21.6973
16.7,22.0403
16.8,21.6544
16.9,22.0403
17,21.6973
17.1,21.9117
17.2,21.783
17.3,21.7402
17.4,21.9546
17.5,21.6973
17.6,21.9974
17.7,16.0371
17.8,23.6563
17.9,21.6973
18,21.6973
18.1,21.6544
18.2,21.6973
18.3,21.6973
18.4,21.783
18.5,21.9117
18.6,21.6973
18.7,21.6544
18.8,22.0403
18.9,21.6973
19,21.6973
19.1,21.9974
19.2,21.6544
19.3,22.0403
19.4,21.6973
19.5,21.9974
19.6,21.6973
19.7,22.0403
19.8,21.6544
19.9,22.0403
20,21.6973
20.1,21.8259
20.2,21.8688
20.3,21.783
20.4,21.9117
20.5,21.6973
20.6,22.0403
20.7,21.6544
20.8,22.0403
20.9,21.6973
21,21.9974
21.1,21.6973
21.2,22.0403
21.3,21.6544
21.4,21.9546
21.5,21.783
21.6,21.8259
21.7,21.097
21.8,18.7443
21.9,21.6973
22,21.4829
22.1,21.6973
22.2,21.6115
22.3,21.7402
22.4,21.6973
22.5,21.783
22.6,21.7402
22.7,21.6973
22.8,21.6973
22.9,21.6544
23,21.6973
23.1,21.8688
23.2,21.8259
23.3,21.6973
23.4,21.6973
23.5,21.8259
23.6,21.8688
23.7,21.6973
23.8,21.6544
23.9,22.0403
24,21.6973
24.1,21.6544
24.2,22.0403
24.3,21.6973
24.4,21.9546
24.5,21.7402
24.6,21.8688
24.7,21.8259
24.8,21.783
24.9,21.9546
25,21.6544
