# time_sec, throughput_Mbps
1,0
1.1,4.75968
1.2,21.1603
1.3,16.1658
1.4,24.5046
1.5,22.6835
1.6,22.7264
1.7,22.7264
1.8,22.6835
1.9,22.7264
2,22.7264
2.1,22.6835
2.2,22.7264
2.3,22.7264
2.4,22.6835
2.5,22.7264
2.6,22.7264
2.7,22.6835
2.8,22.7264
2.9,22.7264
3,22.6835
3.1,22.7264
3.2,22.7264
3.3,22.6835
3.4,22.7264
3.5,22.7264
3.6,22.6835
3.7,22.7264
3.8,22.7264
3.9,21.44
4,19.5725
4.1,22.7264
4.2,22.7264
4.3,22.6835
4.4,22.7264
4.5,22.7264
4.6,22.6835
4.7,22.7264
4.8,22.7264
4.9,22.6835
5,22.7264
5.1,22.7264
5.2,22.6835
5.3,22.7264
5.4,22.7264
5.5,22.6835
5.6,22.7264
5.7,22.7264
5.8,22.6835
5.9,22.7264
6,22.7264
6.1,22.6835
6.2,22.7264
6.3,22.7264
6.4,22.6835
6.5,22.7264
6.6,22.7264
6.7,22.6835
6.8,22.7264
6.9,22.7264
7,22.6835
7.1,22.7264
7.2,22.7264
7.3,22.6835
7.4,22.7264
7.5,22.6835
7.6,22.7264
7.7,22.7264
7.8,22.6835
7.9,22.7264
8,22.7264
8.1,22.6835
8.2,22.7264
8.3,22.7264
8.4,22.6835
8.5,22.7264
8.6,22.7264
8.7,22.6835
8.8,22.7264
8.9,22.7264
9,22.6835
9.1,22.7264
9.2,18.3146
9.3,22.7264
9.4,22.6835
9.5,22.7264
9.6,22.7264
9.7,22.6835
9.8,22.7264
9.9,22.7264
10,22.6835
10.1,22.7264
10.2,22.7264
10.3,22.6835
10.4,22.7264
10.5,22.7264
10.6,22.6835
10.7,22.7264
10.8,22.7264
10.9,22.6835
11,22.7264
11.1,22.7264
11.2,22.6835
11.3,22.7264
11.4,22.7264
11.5,22.6835
11.6,22.7264
11.7,22.7264
11.8,22.6835
11.9,22.7264
12,22.7264
12.1,22.6835
12.2,22.7264
12.3,22.7264
12.4,22.6835
12.5,22.7264
12.6,22.7264
12.7,22.6835
12.8,22.7264
12.9,22.7264
13,22.6835
13.1,22.7264
13.2,22.7264
13.3,18.3379
13.4,22.6835
13.5,22.7264
13.6,22.7264
13.7,22.6835
13.8,22.7264
13.9,22.7264
14,22.6835
14.1,22.7264
14.2,22.7264
14.3,22.6835
14.4,22.7264
14.5,22.7264
14.6,22.6835
14.7,22.7264
14.8,22.7264
14.9,22.6835
15,22.7264
15.1,22.7264
15.2,22.6835
15.3,22.7264
15.4,22.7264
15.5,22.6835
15.6,22.7264
15.7,22.7264
15.8,22.6835
15.9,22.7264
16,22.7264
16.1,22.6835
16.2,22.7264
16.3,22.7264
16.4,22.6835
16.5,22.7264
16.6,22.6835
16.7,22.7264
16.8,22.7264
16.9,22.6835
17,22.7264
17.1,22.7264
17.2,22.6835
17.3,22.7264
17.4,22.7264
17.5,22.6835
17.6,22.7264
17.7,22.7264
17.8,22.6835
17.9,22.7264
18,22.7264
18.1,22.6835
18.2,22.7264
18.3,22.7264
18.4,22.6835
18.5,20.1107
18.6,20.9584
18.7,22.7264
18.8,22.6835
18.9,22.7264
19,22.7264
19.1,22.6835
19.2,22.7264
19.3,22.7264
19.4,22.6835
19.5,22.7264
19.6,22.7264
19.7,22.6835
19.8,22.7264
19.9,22.7264
20,22.6835
20.1,22.7264
20.2,22.7264
20.3,22.6835
20.4,22.7264
20.5,22.7264
20.6,22.6835
20.7,22.7264
20.8,22.7264
20.9,22.6835
21,22.7264
21.1,22.7264
21.2,22.6835
21.3,22.7264
21.4,22.7264
21.5,22.6835
21.6,22.7264
21.7,22.7264
21.8,22.6835
21.9,22.7264
22,22.7264
22.1,22.6835
22.2,22.7264
22.3,22.7264
22.4,22.6835
22.5,22.7264
22.6,21.4829
22.7,19.6157
22.8,22.6835
22.9,22.7264
23,22.7264
23.1,22.6835
23.2,22.7264
23.3,22.7264
23.4,22.6835
23.5,22.7264
23.6,22.7264
23.7,22.6835
23.8,22.7264
23.9,22.7264
24,22.6835
24.1,22.7264
24.2,22.7264
24.3,22.6835
24.4,22.7264
24.5,22.7264
24.6,22.6835
24.7,22.7264
24.8,22.7264
24.9,22.6835
25,22.7264
25.1,22.7264
25.2,22.6835
25.3,22.7264
25.4,22.7264
25.5,22.6835
25.6,22.7264
25.7,22.7264
25.8,22.6835
25.9,22.7264
26,22.6835
26.1,22.7264
26.2,22.7264
26.3,22.6835
26.4,22.7264
26.5,22.7264
26.6,22.6835
26.7,22.7264
26.8,22.7264
26.9,22.6835
27,22.7264
27.1,22.7264
27.2,22.6835
27.3,22.7264
27.4,22.7264
27.5,22.6835
27.6,22.7264
27.7,22.7264
27.8,22.6835
27.9,18.272
28,22.7264
28.1,22.7264
28.2,22.6835
28.3,22.7264
28.4,22.7264
28.5,22.6835
28.6,22.7264
28.7,22.7264
28.8,22.6835
28.9,22.7264
29,22.7264
29.1,22.6835
29.2,22.7264
29.3,22.7264
29.4,22.6835
29.5,22.7264
29.6,22.7264
29.7,22.6835
29.8,22.7264
29.9,22.7264
30,22.6835
30.1,22.7264
30.2,22.7264
30.3,22.6835
30.4,22.7264
30.5,22.7264
30.6,22.6835
30.7,22.7264
30.8,22.7264
30.9,22.6835
31,22.7264
31.1,22.7264
31.2,22.6835
31.3,22.7264
31.4,22.7264
31.5,22.6835
31.6,22.7264
31.7,22.7264
31.8,22.6835
31.9,22.7264
32,18.415
32.1,22.7264
32.2,22.6835
32.3,22.7264
32.4,22.7264
32.5,22.6835
32.6,22.7264
32.7,22.7264
32.8,22.6835
32.9,22.7264
33,22.7264
33.1,22.6835
33.2,22.7264
33.3,22.7264
33.4,22.6835
33.5,22.7264
33.6,22.7264
33.7,22.6835
33.8,22.7264
33.9,22.7264
34,22.6835
34.1,22.7264
34.2,22.7264
34.3,22.6835
34.4,22.7264
34.5,22.7264
34.6,22.6835
34.7,22.7264
34.8,22.7264
34.9,22.6835
35,22.7264
35.1,22.7264
35.2,22.6835
