# time_sec, throughput_Mbps
1,0
1.1,0.4288
1.2,2.40128
1.3,1.2864
1.4,1.67232
1.5,1.54368
1.6,1.41504
1.7,1.41504
1.8,1.32928
1.9,1.15776
2,1.20064
2.1,1.20064
2.2,1.20064
2.3,1.2864
2.4,1.20064
2.5,1.20064
2.6,1.20064
2.7,1.20064
2.8,1.20064
2.9,1.37216
3,1.2864
3.1,1.20064
3.2,1.20064
3.3,1.20064
3.4,1.20064
3.5,1.2864
3.6,1.20064
3.7,1.20064
3.8,1.20064
3.9,1.20064
4,1.37216
4.1,1.20064
4.2,1.20064
4.3,1.20064
4.4,1.20064
4.5,1.20064
4.6,1.2864
4.7,1.20064
4.8,1.20064
4.9,1.20064
5,1.20064
5.1,1.20064
5.2,1.45792
5.3,1.20064
5.4,1.20064
5.5,1.20064
5.6,1.20064
5.7,1.20064
5.8,1.2864
5.9,1.20064
6,1.20064
6.1,1.20064
6.2,1.24352
6.3,1.32928
6.4,1.20064
6.5,1.20064
6.6,1.20064
6.7,1.20064
6.8,1.2864
6.9,1.20064
7,1.20064
7.1,1.20064
7.2,1.20064
7.3,1.20064
7.4,1.37216
7.5,1.2864
7.6,1.20064
7.7,1.20064
7.8,1.20064
7.9,1.20064
8,1.2864
8.1,1.20064
8.2,1.20064
8.3,1.20064
8.4,1.20064
8.5,1.37216
8.6,1.20064
8.7,1.20064
8.8,1.20064
8.9,1.20064
9,1.20064
9.1,1.2864
9.2,1.20064
9.3,1.20064
9.4,1.20064
9.5,1.20064
9.6,1.20064
9.7,1.45792
9.8,1.20064
9.9,1.20064
10,1.20064
10.1,1.20064
10.2,1.20064
10.3,1.2864
10.4,1.20064
10.5,1.20064
10.6,1.20064
10.7,1.24352
10.8,1.32928
10.9,1.20064
11,1.20064
11.1,1.20064
11.2,1.20064
11.3,1.2864
11.4,1.20064
11.5,1.20064
11.6,1.20064
11.7,1.20064
11.8,1.20064
11.9,1.37216
12,1.2864
12.1,1.20064
12.2,1.20064
12.3,1.20064
12.4,1.20064
12.5,1.2864
12.6,1.20064
12.7,1.20064
12.8,1.20064
12.9,1.20064
13,1.37216
13.1,1.20064
13.2,1.20064
13.3,1.20064
13.4,1.20064
13.5,1.20064
13.6,1.2864
13.7,1.20064
13.8,1.20064
13.9,1.20064
14,1.20064
14.1,1.20064
14.2,1.45792
14.3,1.20064
14.4,1.20064
14.5,1.20064
14.6,1.20064
14.7,1.20064
14.8,1.2864
14.9,1.20064
15,1.20064
15.1,1.20064
15.2,1.24352
15.3,1.32928
15.4,1.20064
15.5,1.20064
15.6,1.20064
15.7,1.20064
15.8,1.24352
15.9,1.24352
16,1.20064
16.1,1.20064
16.2,1.20064
16.3,1.20064
16.4,1.37216
16.5,1.2864
16.6,1.20064
16.7,1.20064
16.8,1.20064
16.9,1.20064
17,1.2864
17.1,1.20064
17.2,1.20064
17.3,1.20064
17.4,1.20064
17.5,1.37216
17.6,1.20064
17.7,1.20064
17.8,1.20064
17.9,1.20064
18,1.20064
18.1,1.2864
18.2,1.20064
18.3,1.20064
18.4,1.20064
18.5,1.20064
18.6,1.20064
18.7,1.45792
18.8,1.20064
18.9,1.20064
19,1.20064
19.1,1.20064
19.2,1.20064
19.3,1.2864
19.4,1.20064
19.5,1.20064
19.6,1.20064
19.7,1.24352
19.8,1.32928
19.9,1.20064
20,1.20064
20.1,1.20064
20.2,1.20064
20.3,1.24352
20.4,1.24352
20.5,1.20064
20.6,1.20064
20.7,1.20064
20.8,1.20064
20.9,1.37216
21,1.2864
21.1,1.20064
21.2,1.20064
21.3,1.20064
21.4,1.20064
21.5,1.2864
21.6,1.20064
21.7,1.20064
21.8,1.20064
21.9,1.20064
22,1.37216
22.1,1.20064
22.2,1.20064
22.3,1.20064
22.4,1.20064
22.5,1.20064
22.6,1.2864
22.7,1.20064
22.8,1.20064
22.9,1.20064
23,1.20064
23.1,1.20064
23.2,1.45792
23.3,1.20064
23.4,1.20064
23.5,1.20064
23.6,1.20064
23.7,1.20064
23.8,1.2864
23.9,1.20064
24,1.20064
24.1,1.20064
24.2,1.24352
24.3,1.32928
24.4,1.20064
24.5,1.20064
24.6,1.20064
24.7,1.20064
24.8,1.24352
24.9,1.24352
25,1.20064
25.1,1.20064
25.2,1.20064
25.3,1.20064
25.4,1.37216
25.5,1.2864
25.6,1.20064
25.7,1.20064
25.8,1.20064
25.9,1.20064
26,1.2864
26.1,1.20064
26.2,1.20064
26.3,1.20064
26.4,1.20064
26.5,1.37216
26.6,1.20064
26.7,1.20064
26.8,1.20064
26.9,1.20064
27,1.20064
27.1,1.2864
27.2,1.20064
27.3,1.20064
27.4,1.20064
27.5,1.20064
27.6,1.20064
27.7,1.45792
27.8,1.20064
27.9,1.20064
28,1.20064
28.1,1.20064
28.2,1.20064
28.3,1.2864
28.4,1.20064
28.5,1.20064
28.6,1.20064
28.7,1.24352
28.8,1.32928
28.9,1.20064
29,1.20064
29.1,1.20064
29.2,1.20064
29.3,1.24352
29.4,1.24352
29.5,1.20064
29.6,1.20064
29.7,1.20064
29.8,1.20064
29.9,1.32928
30,1.32928
30.1,1.20064
30.2,1.20064
30.3,1.20064
30.4,1.20064
30.5,1.2864
30.6,1.20064
30.7,1.20064
30.8,1.20064
30.9,1.20064
31,1.37216
31.1,1.20064
31.2,1.20064
31.3,1.20064
31.4,1.20064
31.5,1.20064
31.6,1.2864
31.7,1.20064
31.8,1.20064
31.9,1.20064
32,1.20064
32.1,1.20064
32.2,1.45792
32.3,1.20064
32.4,1.20064
32.5,1.20064
32.6,1.20064
32.7,1.20064
32.8,1.2864
32.9,1.20064
33,1.20064
33.1,1.20064
33.2,1.24352
33.3,1.32928
33.4,1.20064
33.5,1.20064
33.6,1.20064
33.7,1.20064
33.8,1.24352
33.9,1.24352
34,1.20064
34.1,1.20064
34.2,1.20064
34.3,1.20064
34.4,1.32928
34.5,1.32928
34.6,1.20064
34.7,1.20064
34.8,1.20064
34.9,1.20064
35,1.2864
35.1,1.20064
35.2,1.20064
35.3,1.20064
35.4,1.20064
35.5,1.37216
35.6,1.20064
35.7,1.20064
35.8,1.20064
35.9,1.20064
36,1.20064
36.1,1.2864
36.2,1.20064
36.3,1.20064
36.4,1.20064
36.5,1.20064
36.6,1.20064
36.7,1.45792
36.8,1.20064
36.9,1.20064
37,1.20064
37.1,1.20064
37.2,1.20064
37.3,1.2864
37.4,1.20064
37.5,1.20064
37.6,1.20064
37.7,1.24352
37.8,1.32928
37.9,1.20064
38,1.20064
38.1,1.20064
38.2,1.20064
38.3,1.24352
38.4,1.24352
38.5,1.20064
38.6,1.20064
38.7,1.20064
