# time_sec, throughput_Mbps
1,0
1.1,21.5686
1.2,22.2547
1.3,22.2976
1.4,22.2976
1.5,22.2547
1.6,22.2976
1.7,22.2976
1.8,22.2547
1.9,22.2976
2,22.2976
2.1,22.2547
2.2,22.2976
2.3,22.2976
2.4,22.2547
2.5,22.2976
2.6,22.2976
2.7,22.2976
2.8,22.2547
2.9,22.2976
3,22.2976
3.1,22.2547
3.2,22.2976
3.3,22.2976
3.4,22.2547
3.5,22.2976
3.6,22.2976
3.7,22.2547
3.8,22.2976
3.9,22.2976
4,22.2547
4.1,22.2976
4.2,22.2976
4.3,22.2976
4.4,22.2547
4.5,22.2976
4.6,22.2976
4.7,22.2547
4.8,22.2976
4.9,22.2976
5,22.2547
5.1,22.2976
5.2,22.2976
5.3,22.2547
5.4,22.2976
5.5,22.2976
5.6,22.2547
5.7,22.2976
5.8,22.2976
5.9,22.2547
6,22.2976
6.1,22.2976
6.2,22.2547
6.3,22.2976
6.4,22.2976
6.5,22.2547
6.6,22.2976
6.7,22.2976
6.8,22.2547
6.9,22.2976
7,22.2976
7.1,22.2547
7.2,22.2976
7.3,22.2976
7.4,22.2547
7.5,22.2976
7.6,22.2976
7.7,22.2547
7.8,22.2976
7.9,22.2976
8,22.2547
8.1,22.2976
8.2,22.2976
8.3,22.2547
8.4,22.2976
8.5,22.2976
8.6,22.2976
8.7,22.2547
8.8,22.2976
8.9,22.2976
9,22.2547
9.1,22.2976
9.2,22.2976
9.3,22.2547
9.4,22.2976
9.5,22.2976
9.6,22.2547
9.7,22.2976
9.8,22.2976
9.9,22.2547
10,22.2976
10.1,22.2976
10.2,22.2976
10.3,22.2547
10.4,22.2976
10.5,22.2976
10.6,22.2547
10.7,22.2976
10.8,22.2976
10.9,22.2547
11,22.2976
11.1,22.2976
11.2,22.2547
11.3,22.2976
11.4,22.2976
11.5,22.2547
11.6,22.2976
11.7,22.2976
11.8,22.2547
11.9,22.2976
12,22.2976
12.1,22.2547
12.2,22.2976
12.3,22.2976
12.4,22.2547
12.5,22.2976
12.6,22.2976
12.7,22.2547
12.8,22.2976
12.9,22.2976
13,22.2547
13.1,22.2976
13.2,22.2976
13.3,22.2547
13.4,22.2976
13.5,22.2976
13.6,22.2976
13.7,22.2547
13.8,22.2976
13.9,22.2976
14,22.2547
14.1,22.2976
14.2,22.2976
14.3,22.2547
14.4,22.2976
14.5,22.2976
14.6,22.2547
14.7,22.2976
14.8,22.2976
14.9,22.2547
15,22.2976
15.1,22.2976
15.2,22.2547
15.3,22.2976
15.4,22.2976
15.5,22.2547
15.6,22.2976
15.7,22.2976
15.8,22.2547
15.9,22.2976
16,22.2976
16.1,22.2547
16.2,22.2976
16.3,22.2976
16.4,22.2976
16.5,22.2547
16.6,22.2976
16.7,22.2976
16.8,22.2547
16.9,22.2976
17,22.2976
17.1,22.2547
17.2,22.2976
17.3,22.2976
17.4,22.2547
17.5,22.2976
17.6,22.2976
17.7,22.2547
17.8,22.2976
17.9,22.2976
18,22.2547
18.1,22.2976
18.2,22.2976
18.3,22.2547
18.4,22.2976
18.5,22.2976
18.6,22.2976
18.7,22.2547
18.8,22.2976
18.9,22.2976
19,22.2547
19.1,22.2976
19.2,22.2976
19.3,22.2547
19.4,22.2976
19.5,22.2976
19.6,22.2547
19.7,22.2976
19.8,22.2976
19.9,22.2547
20,22.2976
20.1,22.2976
20.2,22.2547
20.3,22.2976
20.4,22.2976
20.5,22.2547
20.6,22.2976
20.7,22.2976
20.8,22.2547
20.9,22.2976
21,22.2976
21.1,22.2547
21.2,22.2976
21.3,22.2976
21.4,22.2547
21.5,22.2976
21.6,22.2976
21.7,22.2547
21.8,22.2976
21.9,22.2976
22,22.2547
22.1,22.2976
22.2,22.2976
22.3,22.2547
22.4,22.2976
22.5,22.2976
22.6,22.2976
22.7,22.2547
22.8,22.2976
22.9,22.2976
23,22.2547
23.1,22.2976
23.2,22.2976
23.3,22.2547
23.4,22.2976
23.5,22.2976
