time,throughput_mbps
1.0001,0
2.0001,0
3.0001,12.9618
4.0001,12.6503
5.0001,12.5167
6.0001,6.68499
7.0001,5.83597
8.0001,9.2921
9.0001,10.3641
10.0001,10.497
11.0001,10.4284
12.0001,10.6471
13.0001,10.527
14.0001,10.7351
15.0001,10.7434
16.0001,11.196
17.0001,10.812
18.0001,10.8566
19.0001,10.8874
20.0001,11.1454
21.0001,11.1746
22.0001,11.3803
23.0001,11.508
24.0001,12.0557
25.0001,11.88
26.0001,11.976
27.0001,12.7123
28.0001,11.7566
29.0001,12.0437
30.0001,11.6417
31.0001,10.1926
32.0001,10.8143
33.0001,10.4241
34.0001,10.6667
35.0001,10.8806
36.0001,11.4677
37.0001,11.2277
38.0001,11.3246
39.0001,11.3074
40.0001,11.5603
41.0001,11.8089
42.0001,12.132
43.0001,11.4404
44.0001,10.6814
45.0001,11.0973
46.0001,10.6717
47.0001,10.5883
48.0001,11.0237
49.0001,10.7803
50.0001,11.028
51.0001,10.6037
52.0001,10.476
53.0001,10.536
54.0001,10.6603
55.0001,10.7357
56.0001,10.824
57.0001,10.992
58.0001,11.52
59.0001,11.784
60.0001,11.136
61.0001,10.4126
62.0001,10.5994
63.0001,10.5643
64.0001,10.0277
65.0001,10.8326
66.0001,10.506
67.0001,10.2655
68.0001,10.6814
69.0001,10.3384
70.0001,10.3042
71.0001,10.4769
72.0001,10.9243
73.0001,10.6671
74.0001,10.7357
75.0001,10.728
76.0001,10.68
77.0001,10.9363
78.0001,11.208
79.0001,11.7677
80.0001,11.0923
81.0001,11.46
82.0001,11.88
83.0001,12.0489
84.0001,11.9803
85.0001,12.4508
86.0001,11.9803
87.0001,10.6474
88.0001,10.3166
89.0001,10.6954
90.0001,10.812
91.0001,10.5
92.0001,10.692
93.0001,11.4594
94.0001,10.2269
95.0001,10.094
96.0001,10.5313
97.0001,10.0247
98.0001,10.9997
99.0001,10.8763
100,11.0683
101,11.2912
102,11.3725
103,11.5483
104,11.8757
105,12.3317
106,11.868
107,12.2606
108,12.6926
109,12.4148
110,12.5152
111,12.4611
112,10.7597
113,10.248
114,10.5643
115,10.344
116,10.9637
117,11.076
118,10.92
119,11.3323
