time,throughput_mbps
1.0001,0
2.0001,0
3.0001,0
4.0001,0
5.0001,0
6.0001,0.283008
7.0001,0.304448
8.0001,0.240128
9.0001,0.265856
10.0001,0.248704
11.0001,0.19296
12.0001,0.1072
13.0001,0.077184
14.0001,0.265856
15.0001,0.23584
16.0001,0.338752
17.0001,0.313024
18.0001,0.218688
19.0001,0.205824
20.0001,0.175808
21.0001,0.132928
22.0001,0.1072
23.0001,0.111488
24.0001,0.102912
25.0001,0.102912
26.0001,0.055744
27.0001,0.047168
28.0001,0.072896
29.0001,0.115776
30.0001,0.115776
31.0001,0.111488
32.0001,0.098624
33.0001,0.102912
34.0001,0.1072
35.0001,0.098624
36.0001,0.090048
37.0001,0.102912
38.0001,0.098624
39.0001,0.08576
40.0001,0.051456
41.0001,0.201536
42.0001,0.330176
43.0001,0.3216
44.0001,0.325888
45.0001,0.325888
46.0001,0.283008
47.0001,0.222976
48.0001,0.17152
49.0001,0.167232
50.0001,0.154368
51.0001,0.15008
52.0001,0.154368
53.0001,0.1072
54.0001,0.077184
55.0001,0.222976
56.0001,0.317312
57.0001,0.274432
58.0001,0.283008
59.0001,0.218688
60.0001,0.210112
61.0001,0.19296
62.0001,0.184384
63.0001,0.162944
64.0001,0.17152
65.0001,0.124352
66.0001,0.1072
67.0001,0.098624
68.0001,0.060032
69.0001,0.055744
70.0001,0.090048
71.0001,0.111488
72.0001,0.12864
73.0001,0.111488
74.0001,0.111488
75.0001,0.120064
76.0001,0.111488
77.0001,0.111488
78.0001,0.111488
79.0001,0.111488
80.0001,0.102912
81.0001,0.077184
82.0001,0.055744
83.0001,0.23584
84.0001,0.274432
85.0001,0.158656
86.0001,0.244416
87.0001,0.218688
88.0001,0.180096
89.0001,0.162944
90.0001,0.158656
91.0001,0.154368
92.0001,0.145792
93.0001,0.137216
94.0001,0.120064
95.0001,0.047168
96.0001,0.04288
97.0001,0.120064
98.0001,0.141504
99.0001,0.158656
100,0.141504
101,0.137216
102,0.124352
103,0.12864
104,0.137216
105,0.111488
106,0.124352
107,0.1072
108,0.102912
109,0.068608
110,0.04288
111,0.08576
112,0.115776
113,0.1072
114,0.115776
115,0.115776
116,0.102912
117,0.094336
118,0.090048
119,0.102912
