time,throughput_mbps
1,0
2,0
3,0.566016
4,0.647488
5,0.647488
6,0.647488
7,0.6432
8,0.656064
9,0.647488
10,0.338752
11,0
12,1.24384
13,0.6432
14,0.647488
15,0.647488
16,0.651776
17,0.6432
18,0.647488
19,0.647488
20,0.651776
21,0.638912
22,0.501696
23,0
24,1.0671
25,0.647488
26,0.6432
27,0.651776
28,0.647488
29,0.647488
30,0.651776
31,0.647488
32,0.647488
33,0.651776
34,0.651776
35,0.06432
36,0.488832
37,1.03792
38,0.6432
39,0.651776
40,0.6432
41,0.647488
42,0.647488
43,0.651776
44,0.6432
45,0.651776
46,0.6432
47,0.218688
48,0.184384
49,1.18803
50,0.647488
51,0.647488
52,0.6432
53,0.651776
54,0.647488
55,0.647488
56,0.647488
57,0.6432
58,0.651776
59,0.445952
60,0.1072
61,0.992448
62,0.647488
63,0.647488
64,0.6432
65,0.6432
66,0.651776
67,0.647488
68,0.647488
69,0.647488
70,0.647488
71,0.651776
72,0.15008
73,0.111488
74,1.3183
75,0.647488
76,0.6432
77,0.651776
78,0.647488
79,0.647488
80,0.647488
81,0.638912
82,0.651776
83,0.647488
84,0.295872
85,0.15008
86,1.06026
87,0.638912
88,0.647488
89,0.651776
90,0.647488
91,0.647488
92,0.647488
93,0.647488
94,0.651776
95,0.6432
96,0.527424
97,0
98,1.06368
99,0.6432
100,0.647488
101,0.6432
102,0.6432
103,0.651776
104,0.647488
105,0.647488
106,0.6432
107,0.647488
108,0.604608
109,0
110,0.891904
111,0.738688
112,0.6432
113,0.647488
114,0.6432
115,0.647488
116,0.651776
117,0.6432
118,0.647488
119,0.647488
