time,throughput_mbps
1,0
2,0
3,1.13203
4,1.1792
5,1.1792
6,1.17491
7,1.19206
8,1.19206
9,1.18349
10,1.18778
11,1.19206
12,1.18778
13,1.1792
14,1.18349
15,1.1792
16,1.18349
17,1.1792
18,1.18349
19,1.19206
20,1.19206
21,1.19206
22,1.18349
23,1.18349
24,1.19206
25,1.18778
26,1.1792
27,1.1792
28,1.19206
29,1.18778
30,1.18778
31,1.1792
32,1.18349
33,1.19206
34,1.19635
35,1.1792
36,1.18778
37,1.18778
38,1.20064
39,1.18778
40,1.18778
41,1.1792
42,1.18778
43,1.17491
44,1.18349
45,1.17491
46,1.18349
47,1.18349
48,1.19206
49,1.18349
50,1.19206
51,1.18778
52,1.19206
53,1.18349
54,1.18778
55,1.19206
56,1.1792
57,1.17062
58,1.19206
59,1.18778
60,1.19635
61,1.18349
62,1.19206
63,1.18778
64,1.18349
65,1.1792
66,1.19206
67,1.18349
68,1.18778
69,1.18778
70,1.18349
71,1.18349
72,1.18778
73,1.18778
74,1.1792
75,1.18778
76,1.19206
77,1.19206
78,1.18778
79,1.18778
80,1.18349
81,1.18778
82,1.18349
83,1.18778
84,1.19206
85,1.18778
86,1.1792
87,1.17491
88,1.18778
89,1.1792
90,1.18349
91,1.18778
92,1.1792
93,1.18778
94,1.18778
95,1.18349
96,1.18349
97,1.19206
98,1.17491
99,1.19206
100,1.16634
101,1.19206
102,1.1792
103,1.1792
104,1.18349
105,1.19206
106,1.17491
107,1.17491
108,1.18349
109,1.1792
110,1.18349
111,1.18349
112,1.18349
113,1.18778
114,1.19206
115,1.18778
116,1.19206
117,1.18349
118,1.18349
119,1.18778
